ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2007-02-01,15.790068923223753,13.348641607818847,18.295624396093313,15.790068923223753,15.790068923223753,-0.018470264406806013,-0.018470264406806013,-0.018470264406806013,-0.018470264406806013,-0.018470264406806013,-0.018470264406806013,0.0,0.0,0.0,15.771598658816947
2007-03-01,15.781537392787857,13.28088005560094,18.112985313250565,15.781537392787857,15.781537392787857,-0.2224388621314408,-0.2224388621314408,-0.2224388621314408,-0.2224388621314408,-0.2224388621314408,-0.2224388621314408,0.0,0.0,0.0,15.559098530656417
2007-04-01,15.772091769805257,13.325546900293924,17.98957837667456,15.772091769805257,15.772091769805257,-0.06602867179845019,-0.06602867179845019,-0.06602867179845019,-0.06602867179845019,-0.06602867179845019,-0.06602867179845019,0.0,0.0,0.0,15.706063098006807
2007-05-01,15.762950844338226,13.117741810601588,17.99786362511457,15.762950844338226,15.762950844338226,-0.17414598735899672,-0.17414598735899672,-0.17414598735899672,-0.17414598735899672,-0.17414598735899672,-0.17414598735899672,0.0,0.0,0.0,15.588804856979229
2007-06-01,15.753505221355628,13.124828891144075,18.113714459604314,15.753505221355628,15.753505221355628,-0.10030868768730185,-0.10030868768730185,-0.10030868768730185,-0.10030868768730185,-0.10030868768730185,-0.10030868768730185,0.0,0.0,0.0,15.653196533668325
2007-07-01,15.744364295888598,13.39852821971539,18.25778540307232,15.744364295888598,15.744364295888598,-0.05879980594677469,-0.05879980594677469,-0.05879980594677469,-0.05879980594677469,-0.05879980594677469,-0.05879980594677469,0.0,0.0,0.0,15.685564489941823
2007-08-01,15.734918672906002,13.55961108508743,18.41035513251082,15.734918672906002,15.734918672906002,0.16638595654464372,0.16638595654464372,0.16638595654464372,0.16638595654464372,0.16638595654464372,0.16638595654464372,0.0,0.0,0.0,15.901304629450646
2007-09-01,15.725473049923401,13.559729855511534,18.43134335328933,15.725473049923401,15.725473049923401,0.14667082056692707,0.14667082056692707,0.14667082056692707,0.14667082056692707,0.14667082056692707,0.14667082056692707,0.0,0.0,0.0,15.872143870490328
2007-10-01,15.71633212445637,12.990746847788458,17.708381664571235,15.71633212445637,15.71633212445637,-0.2969108668558926,-0.2969108668558926,-0.2969108668558926,-0.2969108668558926,-0.2969108668558926,-0.2969108668558926,0.0,0.0,0.0,15.419421257600478
2007-11-01,15.706886501473774,13.139821334316846,17.807315225442355,15.706886501473774,15.706886501473774,-0.20430898397983205,-0.20430898397983205,-0.20430898397983205,-0.20430898397983205,-0.20430898397983205,-0.20430898397983205,0.0,0.0,0.0,15.502577517493942
2007-12-01,15.697745576006744,13.38539455458859,18.234022859611674,15.697745576006744,15.697745576006744,0.12257172092425135,0.12257172092425135,0.12257172092425135,0.12257172092425135,0.12257172092425135,0.12257172092425135,0.0,0.0,0.0,15.820317296930995
2008-01-01,15.688299953024144,13.216751705001998,17.89037676032684,15.688299953024144,15.688299953024144,-0.21950185845853873,-0.21950185845853873,-0.21950185845853873,-0.21950185845853873,-0.21950185845853873,-0.21950185845853873,0.0,0.0,0.0,15.468798094565605
2008-02-01,15.678854330041547,13.371926336856168,18.205268335344073,15.678854330041547,15.678854330041547,0.06450744027029753,0.06450744027029753,0.06450744027029753,0.06450744027029753,0.06450744027029753,0.06450744027029753,0.0,0.0,0.0,15.743361770311845
2008-03-01,15.670018102090085,13.296868971968285,18.242002388957342,15.670018102090085,15.670018102090085,0.122919508804979,0.122919508804979,0.122919508804979,0.122919508804979,0.122919508804979,0.122919508804979,0.0,0.0,0.0,15.792937610895063
2008-04-01,15.660572479107485,12.935699658348414,17.89032187484391,15.660572479107485,15.660572479107485,-0.2378453912369973,-0.2378453912369973,-0.2378453912369973,-0.2378453912369973,-0.2378453912369973,-0.2378453912369973,0.0,0.0,0.0,15.422727087870488
